job_title,Coding_experience,programming_languages,IDE,Hosted_notebook,Computing_platform,Cluster
Machine Learning Engineer,10-20 years,"['Python', 'Javascript']",Visual Studio,Colab Notebooks,A personal computer or laptop,3
Student,< 1 years,"['Python', 'SQL', 'C', 'C++', 'MATLAB']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,3-5 years,"['Python', 'SQL', 'Javascript']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,3-5 years,"['Python', 'R', 'SQL', 'Java']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Currently not employed,5-10 years,"['Python', 'R', 'Other']",RStudio,Unknown,A personal computer or laptop,0
Data Scientist,3-5 years,"['Python', 'C', 'C++']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,3-5 years,"['Python', 'R', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A cloud computing platform (AWS,2
Data Analyst,5-10 years,['C++'],MATLAB,Google Cloud AI Platform Notebooks,A deep learning workstation (NVIDIA GTX,2
Other,10-20 years,"['SQL', 'C', 'C++', 'Java', 'MATLAB']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Currently not employed,1-2 years,"['Python', 'R']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Machine Learning Engineer,1-2 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Other,3-5 years,"['Python', 'C']",Spyder,Colab Notebooks,A personal computer or laptop,3
Software Engineer,1-2 years,"['Python', 'SQL', 'Java', 'Javascript', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Data Scientist,5-10 years,['Python'],Visual Studio Code (VSCode),Colab Notebooks,A personal computer or laptop,3
Data Scientist,3-5 years,"['Python', 'SQL']",Jupyter (JupyterLab,Unknown,A cloud computing platform (AWS,2
Software Engineer,10-20 years,"['Python', 'SQL', 'C', 'C++', 'Bash', 'Other']",Jupyter (JupyterLab,Colab Notebooks,Other,3
Software Engineer,1-2 years,"['C++', 'Javascript']",Visual Studio Code (VSCode),Unknown,A personal computer or laptop,0
Software Engineer,5-10 years,"['Python', 'SQL', 'C']",Visual Studio,Unknown,A personal computer or laptop,0
Student,1-2 years,"['Python', 'C++', 'MATLAB']",Notepad++,Unknown,A personal computer or laptop,0
Data Analyst,1-2 years,"['Python', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Machine Learning Engineer,3-5 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A cloud computing platform (AWS,2
Data Scientist,< 1 years,"['R', 'SQL', 'C', 'Javascript']",RStudio,Unknown,A personal computer or laptop,0
Student,3-5 years,"['Python', 'SQL', 'Java', 'Javascript', 'MATLAB']",Jupyter (JupyterLab,Binder / JupyterHub,A personal computer or laptop,3
Student,1-2 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Student,1-2 years,"['Python', 'C', 'C++']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Research Scientist,10-20 years,"['Python', 'R']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Data Scientist,< 1 years,['Python'],Visual Studio Code (VSCode),Unknown,A personal computer or laptop,0
Currently not employed,< 1 years,['Python'],Jupyter (JupyterLab,Binder / JupyterHub,A personal computer or laptop,3
Research Scientist,1-2 years,"['Python', 'SQL', 'C']",Notepad++,Azure Notebooks,A personal computer or laptop,3
Software Engineer,10-20 years,"['Python', 'Java']",Jupyter (JupyterLab,Google Cloud AI Platform Notebooks,A personal computer or laptop,3
Student,1-2 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Machine Learning Engineer,20+ years,"['Python', 'R', 'SQL', 'Bash']",Jupyter (JupyterLab,Unknown,A cloud computing platform (AWS,2
Other,3-5 years,"['Python', 'C', 'MATLAB']",Visual Studio,Colab Notebooks,A deep learning workstation (NVIDIA GTX,3
Student,< 1 years,['Python'],Jupyter (JupyterLab,Binder / JupyterHub,A personal computer or laptop,3
Data Analyst,1-2 years,"['Python', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Other,5-10 years,['R'],RStudio,Unknown,A personal computer or laptop,0
Software Engineer,1-2 years,"['R', 'SQL', 'Bash']",Vim / Emacs,Unknown,A personal computer or laptop,0
Other,5-10 years,"['Python', 'Java', 'Javascript']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Data Scientist,< 1 years,"['Python', 'R', 'SQL', 'C', 'Java']",RStudio,Colab Notebooks,A personal computer or laptop,3
Machine Learning Engineer,3-5 years,"['Python', 'SQL', 'Bash']",Jupyter (JupyterLab,Unknown,A cloud computing platform (AWS,2
Other,< 1 years,['Python'],Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Data Analyst,1-2 years,"['Python', 'SQL', 'Javascript']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Other,< 1 years,['Python'],Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Research Scientist,5-10 years,"['Python', 'C++']",Jupyter (JupyterLab,Google Cloud AI Platform Notebooks,A personal computer or laptop,3
Software Engineer,3-5 years,"['Python', 'SQL', 'Javascript']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Student,1-2 years,"['Python', 'C++', 'Java']",Jupyter (JupyterLab,Binder / JupyterHub,A personal computer or laptop,3
Other,< 1 years,"['Python', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,Other,1
Student,1-2 years,"['Python', 'SQL', 'C', 'C++']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Data Scientist,10-20 years,"['Python', 'R']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Currently not employed,< 1 years,"['Python', 'SQL', 'Javascript']",Visual Studio Code (VSCode),Binder / JupyterHub,A personal computer or laptop,3
Student,1-2 years,"['Python', 'R']",Jupyter (JupyterLab,Unknown,Unknown,0
Data Scientist,10-20 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A cloud computing platform (AWS,2
Data Analyst,3-5 years,"['Python', 'SQL', 'C++', 'Javascript', 'MATLAB']",Visual Studio Code (VSCode),Unknown,A personal computer or laptop,0
Machine Learning Engineer,1-2 years,"['Python', 'Javascript']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Currently not employed,1-2 years,"['Python', 'C']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Other,< 1 years,['Python'],Other,Colab Notebooks,A personal computer or laptop,3
Machine Learning Engineer,3-5 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A deep learning workstation (NVIDIA GTX,2
Machine Learning Engineer,3-5 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A deep learning workstation (NVIDIA GTX,3
Data Analyst,10-20 years,"['Python', 'Other']",Other,Unknown,A personal computer or laptop,0
Software Engineer,5-10 years,"['Python', 'Swift']",PyCharm,Kaggle Notebooks,A cloud computing platform (AWS,2
Machine Learning Engineer,1-2 years,"['Python', 'C++']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,1-2 years,"['Python', 'SQL', 'C', 'C++', 'Java', 'Javascript', 'Other']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Other,1-2 years,"['Python', 'R', 'SQL', 'Julia']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Currently not employed,3-5 years,"['Python', 'Julia', 'Bash']",Unknown,Unknown,Unknown,0
Machine Learning Engineer,1-2 years,"['Python', 'C', 'C++', 'Java']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Business Analyst,< 1 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,< 1 years,['Python'],Unknown,Unknown,Unknown,0
Data Analyst,< 1 years,"['Python', 'R']",Jupyter (JupyterLab,Amazon Sagemaker Studio,A personal computer or laptop,3
Data Scientist,5-10 years,"['Python', 'R', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Student,1-2 years,['R'],RStudio,Kaggle Notebooks,A personal computer or laptop,1
Student,3-5 years,"['C', 'Java']",Notepad++,Unknown,A personal computer or laptop,0
Currently not employed,< 1 years,"['Python', 'C', 'Java']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Data Analyst,< 1 years,"['Python', 'MATLAB']",PyCharm,Paperspace / Gradient,A personal computer or laptop,3
Data Scientist,5-10 years,"['Python', 'R', 'SQL']",Jupyter (JupyterLab,Unknown,A cloud computing platform (AWS,2
Student,1-2 years,"['Python', 'Java', 'Javascript']",Visual Studio Code (VSCode),Unknown,A personal computer or laptop,0
Research Scientist,10-20 years,"['Python', 'Javascript']",Visual Studio Code (VSCode),Colab Notebooks,A cloud computing platform (AWS,2
Data Scientist,10-20 years,"['Python', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Machine Learning Engineer,< 1 years,"['Python', 'C', 'C++', 'Swift', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Software Engineer,3-5 years,['Python'],PyCharm,Unknown,A personal computer or laptop,0
Student,< 1 years,['Python'],Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Student,< 1 years,"['Python', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Student,3-5 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Student,5-10 years,"['Python', 'Javascript']",Visual Studio Code (VSCode),Unknown,A personal computer or laptop,0
Machine Learning Engineer,5-10 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Research Scientist,10-20 years,"['Python', 'R', 'SQL', 'Java']",RStudio,Colab Notebooks,A deep learning workstation (NVIDIA GTX,3
Student,5-10 years,"['Python', 'Javascript']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Machine Learning Engineer,3-5 years,"['Python', 'C++', 'MATLAB']",PyCharm,Kaggle Notebooks,A personal computer or laptop,1
Student,< 1 years,['Python'],Jupyter (JupyterLab,Binder / JupyterHub,A personal computer or laptop,3
Data Scientist,5-10 years,"['Python', 'SQL', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Software Engineer,10-20 years,"['Python', 'SQL', 'Java', 'Javascript', 'Julia']",Visual Studio Code (VSCode),Kaggle Notebooks,A personal computer or laptop,1
Data Analyst,1-2 years,"['Python', 'R']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Product/Project Manager,< 1 years,"['Python', 'MATLAB']",PyCharm,Colab Notebooks,A personal computer or laptop,3
Data Analyst,< 1 years,['SQL'],Unknown,Unknown,Unknown,0
Software Engineer,10-20 years,"['Python', 'SQL', 'Java', 'Javascript', 'Bash']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,< 1 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Currently not employed,20+ years,"['Python', 'SQL', 'C', 'C++', 'Java', 'Javascript', 'Bash', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Research Scientist,3-5 years,"['Python', 'R']",Jupyter (JupyterLab,Colab Notebooks,A cloud computing platform (AWS,2
Data Analyst,3-5 years,"['Python', 'SQL', 'C++', 'Swift', 'Bash']",Jupyter (JupyterLab,Colab Notebooks,A cloud computing platform (AWS,2
Software Engineer,20+ years,"['SQL', 'C++']",Vim / Emacs,Binder / JupyterHub,A personal computer or laptop,3
Data Scientist,3-5 years,['Python'],Jupyter (JupyterLab,Azure Notebooks,A cloud computing platform (AWS,2
Currently not employed,5-10 years,"['Python', 'R', 'Java']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,3-5 years,"['Python', 'SQL', 'C', 'C++', 'Java', 'Javascript']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Research Scientist,3-5 years,"['Python', 'Bash', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Business Analyst,3-5 years,['R'],RStudio,Other,A personal computer or laptop,3
Data Scientist,3-5 years,"['Python', 'SQL']",Jupyter (JupyterLab,IBM Watson Studio,A cloud computing platform (AWS,2
Data Analyst,5-10 years,"['Python', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Research Scientist,3-5 years,"['Python', 'SQL', 'MATLAB']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Currently not employed,3-5 years,"['Python', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Software Engineer,5-10 years,"['Python', 'R', 'SQL', 'C++', 'Java', 'Javascript', 'MATLAB', 'Other']",Visual Studio,Unknown,A personal computer or laptop,0
Data Scientist,1-2 years,"['Python', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Software Engineer,5-10 years,"['Python', 'SQL', 'Bash', 'Other']",Visual Studio,Kaggle Notebooks,A personal computer or laptop,1
Research Scientist,< 1 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,5-10 years,"['Python', 'SQL', 'C', 'C++', 'Java']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Data Analyst,3-5 years,"['Python', 'R', 'SQL']",RStudio,Unknown,A personal computer or laptop,0
Data Scientist,20+ years,"['Python', 'R', 'SQL']",RStudio,Unknown,A personal computer or laptop,0
Data Scientist,1-2 years,"['Python', 'R']",RStudio,Unknown,A personal computer or laptop,0
Currently not employed,20+ years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A cloud computing platform (AWS,2
Student,1-2 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,3-5 years,"['Python', 'R', 'SQL', 'C', 'C++', 'Java', 'Javascript', 'MATLAB']",Jupyter (JupyterLab,Colab Notebooks,A cloud computing platform (AWS,2
Research Scientist,20+ years,"['Python', 'SQL', 'C', 'C++', 'Java', 'Bash', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A deep learning workstation (NVIDIA GTX,2
Data Analyst,3-5 years,"['R', 'SQL']",RStudio,Unknown,A personal computer or laptop,0
Other,< 1 years,['Python'],PyCharm,Binder / JupyterHub,A personal computer or laptop,3
Other,10-20 years,"['Python', 'C', 'C++', 'MATLAB']",Visual Studio,Unknown,A personal computer or laptop,0
Software Engineer,3-5 years,"['Python', 'R', 'SQL', 'C++', 'Javascript', 'Bash']",Jupyter (JupyterLab,Google Cloud Datalab Notebooks,A personal computer or laptop,3
Student,1-2 years,"['Python', 'C', 'C++', 'Java', 'Javascript']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Data Scientist,3-5 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,3-5 years,"['C++', 'MATLAB']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Student,1-2 years,"['Python', 'C']",Visual Studio,Colab Notebooks,A personal computer or laptop,3
Machine Learning Engineer,20+ years,"['Python', 'SQL', 'Java']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Data Scientist,1-2 years,"['Python', 'R', 'C']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,10-20 years,"['Python', 'C++']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Student,5-10 years,"['Python', 'C', 'C++']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Student,3-5 years,"['Python', 'C++', 'Javascript', 'Swift']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Analyst,< 1 years,"['Python', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Student,3-5 years,"['Python', 'Javascript']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,1-2 years,"['Python', 'SQL', 'C', 'C++', 'Java', 'MATLAB']",Other,Kaggle Notebooks,A personal computer or laptop,1
Machine Learning Engineer,5-10 years,"['Python', 'Javascript', 'MATLAB']",Visual Studio,Unknown,A personal computer or laptop,0
Software Engineer,5-10 years,"['Python', 'R', 'SQL', 'C++', 'Java', 'Javascript', 'Swift']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,< 1 years,"['Python', 'SQL', 'Java', 'Javascript', 'Julia']",Sublime Text,Kaggle Notebooks,Unknown,1
Data Scientist,20+ years,"['Python', 'SQL', 'Java', 'Bash', 'MATLAB']",Vim / Emacs,Unknown,A personal computer or laptop,0
Data Analyst,3-5 years,"['Python', 'SQL', 'Javascript']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Other,10-20 years,"['Python', 'SQL']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Data Scientist,5-10 years,"['Python', 'R', 'SQL']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Currently not employed,3-5 years,['Python'],Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Research Scientist,1-2 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A cloud computing platform (AWS,2
Data Scientist,1-2 years,"['Python', 'R']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,1-2 years,"['Python', 'R', 'C', 'C++']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,1-2 years,"['Python', 'C', 'Java']",Visual Studio Code (VSCode),Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,1-2 years,['Python'],Visual Studio Code (VSCode),Kaggle Notebooks,A deep learning workstation (NVIDIA GTX,2
Student,1-2 years,"['Python', 'R', 'Other']",RStudio,Unknown,A personal computer or laptop,0
Other,1-2 years,"['Python', 'R']",RStudio,Kaggle Notebooks,A personal computer or laptop,1
Statistician,1-2 years,"['Python', 'C++']",Unknown,Unknown,Unknown,0
Data Scientist,3-5 years,"['Python', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,5-10 years,"['Python', 'R', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Student,3-5 years,"['Python', 'R']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Currently not employed,< 1 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Data Scientist,20+ years,"['Python', 'R', 'SQL', 'Bash']",Jupyter (JupyterLab,Unknown,Other,0
Data Scientist,1-2 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Other,20+ years,['Python'],Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Student,< 1 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Product/Project Manager,10-20 years,"['Python', 'SQL', 'Java', 'Javascript']",Jupyter (JupyterLab,Azure Notebooks,A cloud computing platform (AWS,2
Student,3-5 years,"['Python', 'C++', 'Javascript', 'MATLAB']",Jupyter (JupyterLab,Unknown,Unknown,0
Data Scientist,3-5 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,3-5 years,"['Python', 'Java', 'MATLAB']",Spyder,Colab Notebooks,A personal computer or laptop,3
Data Scientist,1-2 years,"['Python', 'SQL', 'Java']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,< 1 years,"['Python', 'R', 'SQL']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,10-20 years,"['Python', 'C++', 'Other']",Visual Studio,Kaggle Notebooks,A deep learning workstation (NVIDIA GTX,1
Student,1-2 years,"['Python', 'C++']",Visual Studio Code (VSCode),Colab Notebooks,A personal computer or laptop,3
Data Analyst,5-10 years,"['Python', 'SQL']",RStudio,Binder / JupyterHub,A personal computer or laptop,3
Student,< 1 years,"['Python', 'SQL', 'MATLAB']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Currently not employed,1-2 years,"['Python', 'SQL', 'C', 'Java', 'Javascript']",Jupyter (JupyterLab,Unknown,Unknown,0
Currently not employed,10-20 years,['R'],RStudio,Kaggle Notebooks,A personal computer or laptop,1
Student,5-10 years,"['Python', 'C++', 'Java', 'MATLAB']",Unknown,Colab Notebooks,A cloud computing platform (AWS,2
Software Engineer,3-5 years,"['Python', 'SQL', 'C++', 'Java']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Student,< 1 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Product/Project Manager,< 1 years,['Python'],PyCharm,Colab Notebooks,A deep learning workstation (NVIDIA GTX,3
Student,< 1 years,"['Python', 'SQL']",Jupyter (JupyterLab,Unknown,Unknown,0
Data Analyst,5-10 years,"['Python', 'R', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Student,3-5 years,"['Python', 'C++', 'Javascript']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Data Engineer,10-20 years,"['SQL', 'C++']",Notepad++,Unknown,A personal computer or laptop,0
Student,1-2 years,"['Python', 'SQL', 'MATLAB']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Other,3-5 years,['Python'],Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Software Engineer,3-5 years,"['Python', 'SQL', 'Javascript', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Data Scientist,1-2 years,"['Python', 'R', 'SQL', 'C++', 'Java', 'Javascript']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Machine Learning Engineer,3-5 years,['Python'],Jupyter (JupyterLab,Kaggle Notebooks,A deep learning workstation (NVIDIA GTX,2
Statistician,1-2 years,"['Python', 'R']",RStudio,Kaggle Notebooks,A personal computer or laptop,1
Software Engineer,3-5 years,"['Python', 'SQL', 'Javascript', 'Bash', 'Other']",Jupyter (JupyterLab,Kaggle Notebooks,Unknown,1
Data Scientist,5-10 years,"['Python', 'SQL']",Jupyter (JupyterLab,Colab Notebooks,A cloud computing platform (AWS,2
Student,3-5 years,"['Python', 'C++']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Student,1-2 years,"['Python', 'C++', 'Javascript', 'Bash']",Jupyter (JupyterLab,Unknown,A personal computer or laptop,0
Machine Learning Engineer,1-2 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Currently not employed,< 1 years,"['Python', 'R', 'MATLAB']",Jupyter (JupyterLab,Unknown,Unknown,0
Student,1-2 years,"['Python', 'Other']",Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Product/Project Manager,20+ years,"['Python', 'SQL', 'Java']",Jupyter (JupyterLab,Colab Notebooks,A deep learning workstation (NVIDIA GTX,3
Data Scientist,3-5 years,"['Python', 'SQL']",Jupyter (JupyterLab,Other,A personal computer or laptop,3
Student,< 1 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Software Engineer,1-2 years,"['Python', 'R', 'C', 'Javascript']",Jupyter (JupyterLab,Kaggle Notebooks,A personal computer or laptop,1
Machine Learning Engineer,3-5 years,"['Python', 'SQL', 'C', 'C++']",PyCharm,Kaggle Notebooks,A personal computer or laptop,1
Student,< 1 years,"['Javascript', 'Other']",RStudio,Unknown,A personal computer or laptop,0
Student,3-5 years,['Python'],Visual Studio Code (VSCode),Binder / JupyterHub,A personal computer or laptop,3
Student,< 1 years,['Python'],Jupyter (JupyterLab,Colab Notebooks,A personal computer or laptop,3
Machine Learning Engineer,5-10 years,['Python'],Visual Studio Code (VSCode),Colab Notebooks,A personal computer or laptop,3
